,Year,Nominal GDP (trillions),Real GDP (trillions),GDP Growth Rate
0,1929,0.105,1.109,-
1,1930,0.092,1.015,-0.1
2,1931,0.077,0.95,-0.1
3,1932,0.06,0.828,-0.1
4,1933,0.057,0.8170000000000001,-0.0
5,1934,0.067,0.9059999999999999,0.1
6,1935,0.07400000000000001,0.986,0.1
7,1936,0.085,1.113,0.1
8,1937,0.09300000000000001,1.17,0.1
9,1938,0.087,1.1320000000000001,-0.0
10,1939,0.09300000000000001,1.222,0.1
11,1940,0.10300000000000001,1.33,0.1
12,1941,0.129,1.5659999999999998,0.2
13,1942,0.166,1.8619999999999999,0.2
14,1943,0.203,2.178,0.2
15,1944,0.22399999999999998,2.352,0.1
16,1945,0.228,2.329,-0.0
17,1946,0.228,2.0580000000000003,-0.1
18,1947,0.25,2.035,-0.0
19,1948,0.275,2.119,0.0
20,1949,0.273,2.1069999999999998,-0.0
21,1950,0.3,2.29,0.1
22,1951,0.34700000000000003,2.474,0.1
23,1952,0.36700000000000005,2.575,0.0
24,1953,0.389,2.696,0.0
25,1954,0.391,2.68,-0.0
26,1955,0.426,2.8710000000000004,0.1
27,1956,0.449,2.932,0.0
28,1957,0.474,2.9939999999999998,0.0
29,1958,0.48100000000000004,2.972,-0.0
30,1959,0.522,3.178,0.1
31,1960,0.542,3.26,0.0
32,1961,0.562,3.344,0.0
33,1962,0.604,3.548,0.1
34,1963,0.638,3.7030000000000003,0.0
35,1964,0.685,3.9160000000000004,0.1
36,1965,0.742,4.171,0.1
37,1966,0.813,4.446000000000001,0.1
38,1967,0.86,4.5680000000000005,0.0
39,1968,0.941,4.792,0.0
40,1969,1.018,4.942,0.0
41,1970,1.073,4.9510000000000005,0.0
42,1971,1.165,5.114,0.0
43,1972,1.2790000000000001,5.382999999999999,0.1
44,1973,1.425,5.687,0.1
45,1974,1.545,5.657,-0.0
46,1975,1.685,5.645,-0.0
47,1976,1.8730000000000002,5.949,0.1
48,1977,2.082,6.224,0.0
49,1978,2.352,6.569,0.1
50,1979,2.627,6.777,0.0
51,1980,2.8569999999999998,6.7589999999999995,-0.0
52,1981,3.207,6.931,0.0
53,1982,3.344,6.806,-0.0
54,1983,3.634,7.117999999999999,0.0
55,1984,4.038,7.632999999999999,0.1
56,1985,4.3389999999999995,7.9510000000000005,0.0
57,1986,4.58,8.226,0.0
58,1987,4.855,8.511000000000001,0.0
59,1988,5.236000000000001,8.867,0.0
60,1989,5.642,9.192,0.0
61,1990,5.962999999999999,9.366,0.0
62,1991,6.1579999999999995,9.355,-0.0
63,1992,6.52,9.685,0.0
64,1993,6.859,9.952,0.0
65,1994,7.287000000000001,10.352,0.0
66,1995,7.64,10.63,0.0
67,1996,8.073,11.030999999999999,0.0
68,1997,8.578,11.522,0.0
69,1998,9.062999999999999,12.038,0.0
70,1999,9.631,12.610999999999999,0.0
71,2000,10.252,13.130999999999998,0.0
72,2001,10.582,13.262,0.0
73,2002,10.936,13.493,0.0
74,2003,11.458,13.879000000000001,0.0
75,2004,12.214,14.405999999999999,0.0
76,2005,13.037,14.913,0.0
77,2006,13.815,15.338,0.0
78,2007,14.452,15.626,0.0
79,2008,14.713,15.605,-0.0
80,2009,14.449000000000002,15.209000000000001,-0.0
81,2010,14.992,15.599,0.0
82,2011,15.543,15.841,0.0
83,2012,16.197,16.197,0.0
84,2013,16.785,16.495,0.0
85,2014,17.527,16.912,0.0
86,2015,18.225,17.404,0.0
87,2016,18.715,17.689,0.0
88,2017,19.519000000000002,18.108,0.0
89,2018,20.58,18.637999999999998,0.0
